Code_Vung,District_Name,Water_Area_km2,Urban_Area_km2,Agriculture_Area_km2,Greenery_Area_km2,Total_LULC_Area_km2
01017,Dong Anh,43.38442317572905,44.260502810129736,94.73253798865342,8.08428581104494,190.46174978555715
01016,Soc Son,59.20245737501157,34.231056166927374,156.94805045282868,53.667173615294786,304.04873761006235
01271,Ba Vi,92.11738562073384,31.938400780468665,155.10967370445488,140.00371188720655,419.1691719928639
01018,Gia Lam,30.37759781939098,31.538684013821303,47.6379586350919,8.833339316421807,118.387579784726
01019,Tu Liem,19.86065394620112,31.038366076554777,21.01564989131691,2.8024892578158216,74.71715917188864
01277,Chuong My,42.56533189739616,29.368593953099964,129.03195623442502,28.335108371249824,229.300990456171
01279,Thuong Tin,28.745285353725187,28.92543446695403,77.54841690267766,4.654601510164208,139.87373823352107
01280,Phu Xuyen,38.72096536665502,26.116570080150254,110.29043309309093,5.02217070695382,180.15013924685002
01274,Hoai Duc,19.905591433671336,23.77588652005188,35.01776239734574,5.24529598115169,83.94453633222066
01282,My Duc,42.81629557274901,23.403063924407775,111.77119685392022,57.32917201318664,235.31972836426365
01004,Long Bien,15.896810916909578,22.236591547373312,14.946518104953386,3.818101400309784,56.898021969546065
01020,Thanh Tri,18.044354623014485,22.18417953320296,26.772237222036964,3.441277253050441,70.44204863130484
01276,Thach That,30.984556475879735,21.18315314850844,69.99419509216047,50.67224535139256,172.83415006794118
01281,Ung Hoa,35.768387304234984,20.635075857930648,118.525527583346,4.192761677670678,179.12175242318233
01275,Quoc Oai,29.023359421331577,19.8208986984381,77.67194230109992,24.735604364312557,151.25180478518214
01250,Me Linh,32.98903995812028,19.079586497126982,82.94819526432386,8.58778194813669,143.6046036677078
01008,Hoang Mai,9.848110384144148,17.929266177613176,8.523220354552022,1.677846877038754,37.978443793348106
01278,Thanh Oai,22.785656346473814,17.36657370742094,80.85027254842862,4.9597197222907825,125.96222232461416
01272,Phuc Tho,29.875585170606,16.089488839649484,60.256572656369336,12.289675218715413,118.51132188534022
01268,Ha Dong,7.944957341288585,15.019117290289733,9.644467956346144,1.5583791189740055,34.16692170689847
01273,Dan Phuong,22.8198757111932,14.879513668515942,28.257349660301834,6.832209354084029,72.788948394095
01269,Son Tay,33.70015282688484,14.55894420795396,44.5141642627048,29.970601624901676,122.74386292244527
01005,Cau Giay,2.8220472254742197,11.398942676552483,1.4623922974227308,0.22378127331225825,15.907163472761692
01003,Tay Ho,11.932329855425834,9.253846775875349,5.553333945927308,0.9799741402206423,27.71948471744913
01007,Hai Ba Trung,3.3804635188344307,8.477806674114388,0.7421190514649932,0.2735275137233959,12.87391675813721
01006,Dong Da,1.5630091442608405,7.041105529060217,0.48394347708880864,0.06126049062882966,9.149318641038695
01001,Ba Dinh,2.5722343366900584,6.8798952768383534,1.4773324595450892,0.5263584539109173,11.455820526984418
01009,Thanh Xuan,1.5823372818286068,5.771685126877518,0.8267565104006599,0.16971790656101002,8.350496825667795
01002,Hoan Kiem,1.5953928833225923,3.611969527410351,0.5151665478952744,0.20495837429004743,5.927487332918265
